id	uid	created_at	Core Status
52886697	txn_1c5de9e1ecec08593c0b9963fe8febb7aeaf8dc127a8df735b1cdad8e5e2250a	2021-07-06 02:53:15	SUCCESS
52886698	txn_f5af281bb522dabe3b384e0a6b2249ef2446caee60f05a52f7a4cbccad5f258e	2021-07-06 02:53:15	SUCCESS
52886703	txn_6b733605f588120768d77235a8aa0f2049bf13f555acbdadd3dacc4907d1f95f	2021-07-06 02:53:31	SUCCESS
52886704	txn_632c11b5d4ffdc12cb4e721f0b96a4a0983b881fcd9f662e4edecd0959ac404c	2021-07-06 02:53:34	SUCCESS
52886708	txn_803cc5526a64ce217b306a3d7e100ea026ec6ead6cebc53dafe1b9ffe0b24e6c	2021-07-06 02:53:37	SUCCESS
52886723	txn_a01fbf0c35e2660137e4befcb7b9f4166373c57c14d559980a82e79f56841322	2021-07-06 02:53:59	SUCCESS
52886749	txn_69d3edc29ab789219b8d20f0ca7407a5b2791660aff1496b7c5df336fbc65035	2021-07-06 02:54:59	SUCCESS
52886762	txn_c33bc10d2e25d2da60827af6c99520e8cf26675c2415ad320c8a5d98daad79f2	2021-07-06 02:55:20	FAILURE
52886766	txn_9681f8c2c6c47deed000b0d0801a8dc327ce9eae21de9f90da4ff99b593ba96c	2021-07-06 02:55:28	SUCCESS
52886768	txn_5bb42825fb5786656b2027109a623aa2a42688e3c1368ec7433b02b6cd00f388	2021-07-06 02:55:30	SUCCESS
52886782	txn_d68d4ef5b27fefbea0c170a73738e9dc4fc6f94a368d780d4bb1d2d698f61b2b	2021-07-06 02:56:03	SUCCESS
52886788	txn_d94b7d85a41a10be989b82f7237ae8af3215934772556661162097ec85a57e48	2021-07-06 02:56:14	SUCCESS
52886793	txn_dca07ab04e45f3787e8fcd53150b576ea50108014c3541d670c916ebf64c1704	2021-07-06 02:56:20	SUCCESS
52886804	txn_4e850f01a117cf25ba61a78ad5c14fbc947056fb960f935605dabec49f5d2099	2021-07-06 02:56:41	SUCCESS
52886814	txn_45ee51cf605c84249558fc90e8bcfd4f696d075d27ff2e2203706eacb9fe09c0	2021-07-06 02:57:12	SUCCESS
52886815	txn_e64d9248425692ee9bc809c01a2f70a8574035a2a63a080bd3db98919eb77742	2021-07-06 02:57:13	SUCCESS
52886829	txn_a4060f8f7d31e20080c89327a8aefb77098679be23d2cf268cac5fb4ae3a828c	2021-07-06 02:57:30	SUCCESS
52886832	txn_37cd15bb1e93c74d26dd5bca467e3ba5c4367616626e93d79939f9dd63bc73b7	2021-07-06 02:57:32	SUCCESS
52886835	txn_bd26634843dfb21b539585d625a3fa10ff01d1d66ad461b690cc0c36747867a6	2021-07-06 02:57:34	SUCCESS
52886843	txn_dff1ec2f2541e26c119254b399c33e6aa8967085f2c3654bcd6a2c91a6d2ac1f	2021-07-06 02:57:48	SUCCESS
52886845	txn_f3725dfdc27e90b3e3c60cad9ee0833452b4decaaf28bfd6c3812aa0bdd5296e	2021-07-06 02:57:51	SUCCESS
52886851	txn_fa7362b71756e12a5d1a9cbc4c85d15ea503c69dd12d372b44fb360246fb2fec	2021-07-06 02:57:55	SUCCESS
52886855	txn_b392cf75690f60a7e2f84bbb09a6c570ccc3064f384d4f0008397fbfd50d5e78	2021-07-06 02:58:00	SUCCESS
